"assignment","user","typeid","type","stepid","step","updatedon"
837,User_206,1,Current,1,Analysis,2022-05-31 13:34:17
848,User_309,1,Current,2,Comparison,2022-05-31 15:33:41
849,User_309,3,Submission,1,Analysis,2022-05-31 15:35:19
1006,User_100,3,Submission,2,Comparison,2022-06-03 01:15:30
758,Heiditest2,1,Current,2,Comparison,2022-05-26 17:39:16
769,Heiditest3,3,Submission,1,Analysis,2022-05-26 17:40:26
769,Heiditest3,1,Current,2,Comparison,2022-05-26 17:43:38
833,User_100,3,Submission,1,Analysis,2022-05-30 08:21:33
833,User_100,1,Current,2,Comparison,2022-05-30 08:21:33
834,User_100,3,Submission,1,Analysis,2022-05-30 08:23:22
834,User_100,1,Current,2,Comparison,2022-05-30 08:23:22
842,User_307,1,Current,1,Analysis,2022-05-31 14:03:59
852,User_309,3,Submission,1,Analysis,2022-05-31 15:57:31
842,User_307,3,Submission,1,Analysis,2022-05-31 14:04:23
836,User_206,1,Current,1,Analysis,2022-05-31 13:28:46
836,User_206,3,Submission,1,Analysis,2022-05-31 13:28:53
842,User_307,1,Current,2,Comparison,2022-05-31 14:04:23
852,User_309,1,Current,2,Comparison,2022-05-31 15:57:55
1007,User_100,3,Submission,1,Analysis,2022-06-03 01:15:41
1007,User_100,1,Current,2,Comparison,2022-06-03 01:15:41
1076,User_127,3,Submission,2,Comparison,2022-06-03 19:52:58
1134,User_328,3,Submission,2,Comparison,2022-06-05 13:10:42
1324,User_114,3,Submission,1,Analysis,2022-06-07 22:54:53
1324,User_114,1,Current,2,Comparison,2022-06-07 23:00:44
836,User_206,1,Current,2,Comparison,2022-05-31 13:32:19
836,User_206,3,Submission,2,Comparison,2022-05-31 13:32:38
837,User_206,3,Submission,1,Analysis,2022-05-31 13:34:22
842,User_307,3,Submission,2,Comparison,2022-05-31 14:05:32
849,User_309,1,Current,1,Analysis,2022-05-31 15:35:16
852,User_309,3,Submission,2,Comparison,2022-05-31 15:57:58
1007,User_100,3,Submission,2,Comparison,2022-06-03 01:17:33
837,User_206,1,Current,2,Comparison,2022-05-31 13:36:37
837,User_206,3,Submission,2,Comparison,2022-05-31 13:36:59
838,User_206,1,Current,1,Analysis,2022-05-31 13:38:00
838,User_206,3,Submission,1,Analysis,2022-05-31 13:38:23
838,User_206,1,Current,2,Comparison,2022-05-31 13:44:42
838,User_206,3,Submission,2,Comparison,2022-05-31 13:44:47
839,User_207,1,Current,1,Analysis,2022-05-31 13:49:19
839,User_207,3,Submission,1,Analysis,2022-05-31 13:49:31
839,User_207,1,Current,2,Comparison,2022-05-31 13:56:29
839,User_207,3,Submission,2,Comparison,2022-05-31 13:56:34
843,User_307,3,Submission,1,Analysis,2022-05-31 14:22:40
844,User_101,1,Current,1,Analysis,2022-05-31 14:58:45
846,User_309,3,Submission,1,Analysis,2022-05-31 15:10:56
843,User_307,1,Current,2,Comparison,2022-05-31 15:40:32
846,User_309,1,Current,2,Comparison,2022-05-31 15:10:56
846,User_309,3,Submission,2,Comparison,2022-05-31 15:12:37
847,User_309,1,Current,1,Analysis,2022-05-31 15:28:11
847,User_309,3,Submission,1,Analysis,2022-05-31 15:28:37
847,User_309,1,Current,2,Comparison,2022-05-31 15:29:14
847,User_309,3,Submission,2,Comparison,2022-05-31 15:29:22
848,User_309,1,Current,1,Analysis,2022-05-31 15:32:37
848,User_309,3,Submission,1,Analysis,2022-05-31 15:32:46
848,User_309,3,Submission,2,Comparison,2022-05-31 15:33:45
853,User_309,1,Current,1,Analysis,2022-05-31 15:58:16
849,User_309,1,Current,2,Comparison,2022-05-31 15:39:08
849,User_309,3,Submission,2,Comparison,2022-05-31 15:39:12
850,User_309,1,Current,1,Analysis,2022-05-31 15:44:57
850,User_309,3,Submission,1,Analysis,2022-05-31 15:45:00
850,User_309,1,Current,2,Comparison,2022-05-31 15:48:23
850,User_309,3,Submission,2,Comparison,2022-05-31 15:48:26
851,User_309,1,Current,1,Analysis,2022-05-31 15:49:47
851,User_309,3,Submission,1,Analysis,2022-05-31 15:49:50
851,User_309,1,Current,2,Comparison,2022-05-31 15:55:09
851,User_309,3,Submission,2,Comparison,2022-05-31 15:55:13
840,User_206,1,Current,1,Analysis,2022-05-31 15:59:21
840,User_206,3,Submission,1,Analysis,2022-05-31 15:59:42
853,User_309,3,Submission,2,Comparison,2022-05-31 16:00:23
840,User_206,1,Current,2,Comparison,2022-05-31 16:03:34
858,User_206,3,Submission,1,Analysis,2022-05-31 16:15:36
854,User_309,1,Current,1,Analysis,2022-05-31 16:02:16
854,User_309,3,Submission,1,Analysis,2022-05-31 16:02:20
840,User_206,3,Submission,2,Comparison,2022-05-31 16:03:40
855,User_206,1,Current,1,Analysis,2022-05-31 16:05:12
855,User_206,3,Submission,1,Analysis,2022-05-31 16:05:15
854,User_309,1,Current,2,Comparison,2022-05-31 16:07:40
854,User_309,3,Submission,2,Comparison,2022-05-31 16:07:44
856,User_309,3,Submission,1,Analysis,2022-05-31 16:09:48
856,User_309,1,Current,2,Comparison,2022-05-31 16:10:23
