"assignment","user","typeid","type","stepid","step","updatedon"
1242,User_117,3,Submission,2,Comparison,2022-06-07 13:57:05
1239,User_254,1,Current,2,Comparison,2022-06-07 14:01:49
2398,User_327,3,Submission,2,Comparison,2022-06-28 23:58:54
1244,User_219,1,Current,2,Comparison,2022-06-07 13:58:39
1243,User_117,3,Submission,1,Analysis,2022-06-07 13:58:45
1243,User_117,1,Current,2,Comparison,2022-06-07 13:58:45
1243,User_117,3,Submission,2,Comparison,2022-06-07 14:00:13
1245,User_117,3,Submission,1,Analysis,2022-06-07 14:02:06
1245,User_117,1,Current,2,Comparison,2022-06-07 14:02:06
2399,User_327,3,Submission,1,Analysis,2022-06-28 23:59:02
2399,User_327,1,Current,2,Comparison,2022-06-28 23:59:02
1245,User_117,3,Submission,2,Comparison,2022-06-07 14:03:32
1244,User_219,3,Submission,2,Comparison,2022-06-07 14:05:00
1247,User_219,3,Submission,1,Analysis,2022-06-07 14:06:03
1247,User_219,1,Current,2,Comparison,2022-06-07 14:06:03
1246,User_117,3,Submission,1,Analysis,2022-06-07 14:06:07
1246,User_117,1,Current,2,Comparison,2022-06-07 14:06:07
1239,User_254,3,Submission,2,Comparison,2022-06-07 14:06:23
1246,User_117,3,Submission,2,Comparison,2022-06-07 14:08:36
1247,User_219,3,Submission,2,Comparison,2022-06-07 14:09:59
1249,User_117,3,Submission,1,Analysis,2022-06-07 14:10:33
1249,User_117,1,Current,2,Comparison,2022-06-07 14:10:33
1332,User_254,3,Submission,1,Analysis,2022-06-07 23:12:54
1250,User_134,3,Submission,1,Analysis,2022-06-07 14:12:30
1250,User_134,1,Current,2,Comparison,2022-06-07 14:12:30
1249,User_117,3,Submission,2,Comparison,2022-06-07 14:12:46
1252,User_117,3,Submission,1,Analysis,2022-06-07 14:14:23
1252,User_117,1,Current,2,Comparison,2022-06-07 14:14:23
1270,User_116,1,Current,1,Analysis,2022-06-07 17:11:49
1278,User_116,3,Submission,1,Analysis,2022-06-07 19:17:31
1248,User_254,1,Current,1,Analysis,2022-06-07 14:14:39
1248,User_254,3,Submission,1,Analysis,2022-06-07 14:15:07
1252,User_117,3,Submission,2,Comparison,2022-06-07 14:15:57
1251,User_331,3,Submission,1,Analysis,2022-06-07 14:17:17
1251,User_331,1,Current,2,Comparison,2022-06-07 14:17:17
1253,User_117,3,Submission,1,Analysis,2022-06-07 14:17:48
1250,User_134,3,Submission,2,Comparison,2022-06-07 14:18:29
2399,User_327,3,Submission,2,Comparison,2022-06-28 23:59:44
1253,User_117,1,Current,2,Comparison,2022-06-07 14:19:13
1251,User_331,3,Submission,2,Comparison,2022-06-07 14:30:51
1248,User_254,1,Current,2,Comparison,2022-06-07 14:36:42
1254,User_331,3,Submission,1,Analysis,2022-06-07 14:38:11
1254,User_331,1,Current,2,Comparison,2022-06-07 14:38:11
1207,User_330,3,Submission,1,Analysis,2022-06-07 14:38:20
1270,User_116,3,Submission,1,Analysis,2022-06-07 17:11:53
1207,User_330,1,Current,2,Comparison,2022-06-07 14:38:20
921,User_223,1,Current,2,Comparison,2022-06-07 14:41:06
921,User_223,3,Submission,2,Comparison,2022-06-07 14:41:11
1255,User_223,1,Current,1,Analysis,2022-06-07 14:45:49
1255,User_223,3,Submission,1,Analysis,2022-06-07 14:45:53
1254,User_331,3,Submission,2,Comparison,2022-06-07 14:46:39
1207,User_330,3,Submission,2,Comparison,2022-06-07 14:49:23
1255,User_223,1,Current,2,Comparison,2022-06-07 14:51:07
1255,User_223,3,Submission,2,Comparison,2022-06-07 14:51:19
1256,User_331,3,Submission,1,Analysis,2022-06-07 14:52:51
1256,User_331,1,Current,2,Comparison,2022-06-07 14:52:51
1258,User_223,1,Current,1,Analysis,2022-06-07 14:55:17
1259,User_331,1,Current,2,Comparison,2022-06-07 15:10:38
1258,User_223,3,Submission,1,Analysis,2022-06-07 14:55:21
1257,User_330,3,Submission,1,Analysis,2022-06-07 14:58:39
1257,User_330,1,Current,2,Comparison,2022-06-07 14:58:39
1258,User_223,1,Current,2,Comparison,2022-07-01 16:14:30
1256,User_331,3,Submission,2,Comparison,2022-06-07 15:04:27
1257,User_330,3,Submission,2,Comparison,2022-06-07 15:06:06
1259,User_331,3,Submission,1,Analysis,2022-06-07 15:10:38
1259,User_331,3,Submission,2,Comparison,2022-06-07 15:24:10
1014,User_229,1,Current,2,Comparison,2022-06-07 15:32:37
1014,User_229,3,Submission,2,Comparison,2022-06-07 15:32:42
1260,User_229,1,Current,1,Analysis,2022-06-07 15:38:10
1260,User_229,3,Submission,1,Analysis,2022-06-07 15:38:14
1278,User_116,1,Current,2,Comparison,2022-06-07 19:20:32
1383,User_115,3,Submission,1,Analysis,2022-06-08 17:17:45
1260,User_229,1,Current,2,Comparison,2022-06-07 15:41:37
1260,User_229,3,Submission,2,Comparison,2022-06-07 15:41:41
1261,User_229,1,Current,1,Analysis,2022-06-07 16:02:50
1261,User_229,3,Submission,1,Analysis,2022-06-07 16:02:54
2400,User_327,3,Submission,1,Analysis,2022-06-28 23:59:52
2400,User_327,1,Current,2,Comparison,2022-06-28 23:59:52
1261,User_229,1,Current,2,Comparison,2022-06-07 16:06:50
1261,User_229,3,Submission,2,Comparison,2022-06-07 16:07:02
1262,User_229,1,Current,1,Analysis,2022-06-07 16:13:35
1262,User_229,3,Submission,1,Analysis,2022-06-07 16:14:09
1262,User_229,1,Current,2,Comparison,2022-06-07 16:18:38
1262,User_229,3,Submission,2,Comparison,2022-06-07 16:18:42
2400,User_327,3,Submission,2,Comparison,2022-06-29 00:00:59
1263,User_229,1,Current,1,Analysis,2022-06-07 16:22:41
1263,User_229,3,Submission,1,Analysis,2022-06-07 16:22:46
1264,User_116,1,Current,1,Analysis,2022-06-07 16:26:34
1264,User_116,3,Submission,1,Analysis,2022-06-07 16:26:54
1263,User_229,1,Current,2,Comparison,2022-06-07 16:27:37
1263,User_229,3,Submission,2,Comparison,2022-06-07 16:27:41
1265,User_229,1,Current,1,Analysis,2022-06-07 16:33:13
1265,User_229,3,Submission,1,Analysis,2022-06-07 16:33:17
1265,User_229,1,Current,2,Comparison,2022-06-10 12:25:13
2401,User_327,3,Submission,1,Analysis,2022-06-29 00:01:05
2401,User_327,1,Current,2,Comparison,2022-06-29 00:01:05
1264,User_116,1,Current,2,Comparison,2022-06-07 16:35:27
1264,User_116,3,Submission,2,Comparison,2022-06-07 16:35:32
1266,User_116,1,Current,1,Analysis,2022-06-07 16:44:17
1266,User_116,3,Submission,1,Analysis,2022-06-07 16:44:23
1266,User_116,1,Current,2,Comparison,2022-06-07 16:44:23
2401,User_327,3,Submission,2,Comparison,2022-06-29 00:01:56
1266,User_116,3,Submission,2,Comparison,2022-06-07 16:48:00
1267,User_116,1,Current,1,Analysis,2022-06-07 16:50:07
1267,User_116,3,Submission,1,Analysis,2022-06-07 16:50:10
1267,User_116,1,Current,2,Comparison,2022-06-07 17:00:37
2402,User_327,3,Submission,1,Analysis,2022-06-29 00:02:03
2402,User_327,1,Current,2,Comparison,2022-06-29 00:02:03
1267,User_116,3,Submission,2,Comparison,2022-06-07 17:00:40
1268,User_116,1,Current,1,Analysis,2022-06-07 17:02:14
1268,User_116,3,Submission,1,Analysis,2022-06-07 17:02:16
1268,User_116,1,Current,2,Comparison,2022-06-07 17:04:22
2402,User_327,3,Submission,2,Comparison,2022-06-29 00:02:52
1110,User_315,3,Submission,2,Comparison,2022-06-07 17:03:57
1268,User_116,3,Submission,2,Comparison,2022-06-07 17:04:28
1269,User_116,1,Current,1,Analysis,2022-06-07 17:06:12
1269,User_116,3,Submission,1,Analysis,2022-06-07 17:06:14
1269,User_116,1,Current,2,Comparison,2022-06-07 17:08:24
1269,User_116,3,Submission,2,Comparison,2022-06-07 17:08:55
909,User_307,3,Submission,1,Analysis,2022-06-07 17:10:55
2403,User_327,3,Submission,1,Analysis,2022-06-29 00:02:59
2403,User_327,1,Current,2,Comparison,2022-06-29 00:02:59
1270,User_116,1,Current,2,Comparison,2022-06-07 17:11:53
909,User_307,1,Current,2,Comparison,2022-06-07 17:13:57
1270,User_116,3,Submission,2,Comparison,2022-06-07 17:14:28
1271,User_116,1,Current,1,Analysis,2022-06-07 17:16:42
1271,User_116,3,Submission,1,Analysis,2022-06-07 17:16:45
1271,User_116,1,Current,2,Comparison,2022-06-07 17:19:59
1271,User_116,3,Submission,2,Comparison,2022-06-07 17:20:01
1272,User_116,1,Current,1,Analysis,2022-06-07 17:23:59
1272,User_116,3,Submission,1,Analysis,2022-06-07 17:24:01
2403,User_327,3,Submission,2,Comparison,2022-06-29 00:04:22
1272,User_116,1,Current,2,Comparison,2022-06-07 17:26:59
1272,User_116,3,Submission,2,Comparison,2022-06-07 17:27:02
1273,User_116,1,Current,1,Analysis,2022-06-07 17:28:07
1273,User_116,3,Submission,1,Analysis,2022-06-07 17:28:12
1273,User_116,1,Current,2,Comparison,2022-06-07 17:31:29
1273,User_116,3,Submission,2,Comparison,2022-06-07 17:31:31
1274,User_116,1,Current,1,Analysis,2022-06-07 17:47:45
1274,User_116,3,Submission,1,Analysis,2022-06-07 17:47:49
1274,User_116,1,Current,2,Comparison,2022-06-07 17:51:44
1274,User_116,3,Submission,2,Comparison,2022-06-07 17:51:48
1280,User_217,3,Submission,1,Analysis,2022-06-07 20:19:14
2404,User_327,3,Submission,1,Analysis,2022-06-29 00:04:30
1276,User_229,1,Current,1,Analysis,2022-06-07 18:00:49
1276,User_229,3,Submission,1,Analysis,2022-06-07 18:00:54
972,User_236,3,Submission,1,Analysis,2022-06-07 18:04:34
985,User_236,3,Submission,1,Analysis,2022-06-07 18:07:22
2404,User_327,1,Current,2,Comparison,2022-06-29 00:04:30
985,User_236,1,Current,2,Comparison,2022-06-09 17:17:05
1277,User_248,3,Submission,1,Analysis,2022-06-07 18:26:27
1277,User_248,1,Current,2,Comparison,2022-06-07 18:26:27
1277,User_248,3,Submission,2,Comparison,2022-06-07 18:30:35
935,User_229,1,Current,2,Comparison,2022-06-07 18:32:41
1275,User_116,1,Current,1,Analysis,2022-06-07 18:50:32
1278,User_116,1,Current,1,Analysis,2022-06-07 19:17:27
1276,User_229,1,Current,2,Comparison,2022-06-13 12:25:41
1275,User_116,3,Submission,1,Analysis,2022-06-07 18:50:35
1275,User_116,1,Current,2,Comparison,2022-06-07 19:11:17
1275,User_116,3,Submission,2,Comparison,2022-06-07 19:11:20
1278,User_116,3,Submission,2,Comparison,2022-06-07 19:20:34
2404,User_327,3,Submission,2,Comparison,2022-06-29 00:04:44
1279,User_217,3,Submission,1,Analysis,2022-06-07 20:13:40
1279,User_217,1,Current,2,Comparison,2022-06-07 20:17:53
1279,User_217,3,Submission,2,Comparison,2022-06-07 20:17:57
2412,User_354,1,Current,2,Comparison,2022-06-29 03:17:49
1280,User_217,1,Current,2,Comparison,2022-06-07 20:21:38
1280,User_217,3,Submission,2,Comparison,2022-06-07 20:21:41
1281,User_217,3,Submission,1,Analysis,2022-06-07 20:22:47
1281,User_217,1,Current,2,Comparison,2022-06-07 20:24:29
1281,User_217,3,Submission,2,Comparison,2022-06-07 20:24:31
1282,User_217,3,Submission,1,Analysis,2022-06-07 20:26:04
1282,User_217,1,Current,2,Comparison,2022-06-07 20:27:54
1282,User_217,3,Submission,2,Comparison,2022-06-07 20:27:56
1283,User_217,1,Current,1,Analysis,2022-06-07 20:30:00
1283,User_217,3,Submission,1,Analysis,2022-06-07 20:30:02
1283,User_217,1,Current,2,Comparison,2022-06-07 20:32:30
1283,User_217,3,Submission,2,Comparison,2022-06-07 20:32:33
1284,User_217,3,Submission,1,Analysis,2022-06-07 20:33:36
1284,User_217,1,Current,2,Comparison,2022-06-07 20:33:36
1284,User_217,3,Submission,2,Comparison,2022-06-07 20:34:35
1285,User_217,3,Submission,1,Analysis,2022-06-07 20:35:28
1287,User_217,1,Current,2,Comparison,2022-06-07 20:40:25
1288,User_217,3,Submission,1,Analysis,2022-06-07 20:41:40
1285,User_217,1,Current,2,Comparison,2022-06-07 20:37:48
1285,User_217,3,Submission,2,Comparison,2022-06-07 20:37:50
1287,User_217,3,Submission,1,Analysis,2022-06-07 20:38:52
1287,User_217,3,Submission,2,Comparison,2022-06-07 20:40:27
1295,User_102,3,Submission,1,Analysis,2022-06-07 21:17:03
1288,User_217,1,Current,2,Comparison,2022-06-07 20:43:41
1288,User_217,3,Submission,2,Comparison,2022-06-07 20:43:43
1290,User_217,3,Submission,1,Analysis,2022-06-07 20:45:11
1286,User_249,1,Current,1,Analysis,2022-06-07 21:07:20
1290,User_217,1,Current,2,Comparison,2022-06-07 20:47:04
1290,User_217,3,Submission,2,Comparison,2022-06-07 20:47:07
1291,User_217,3,Submission,1,Analysis,2022-06-07 20:51:18
1291,User_217,1,Current,2,Comparison,2022-06-07 20:53:06
2412,User_354,3,Submission,2,Comparison,2022-06-29 03:19:49
1291,User_217,3,Submission,2,Comparison,2022-06-07 20:53:09
1292,User_217,3,Submission,1,Analysis,2022-06-07 20:54:07
1292,User_217,1,Current,2,Comparison,2022-06-07 20:55:59
1292,User_217,3,Submission,2,Comparison,2022-06-07 20:56:02
1295,User_102,1,Current,2,Comparison,2022-06-07 21:17:03
1293,User_217,3,Submission,1,Analysis,2022-06-07 20:57:08
1293,User_217,1,Current,2,Comparison,2022-06-07 20:58:36
1293,User_217,3,Submission,2,Comparison,2022-06-07 20:58:38
1286,User_249,3,Submission,1,Analysis,2022-06-07 21:09:45
1295,User_102,1,Current,1,Analysis,2022-06-07 21:16:08
2413,User_354,3,Submission,1,Analysis,2022-06-29 03:19:57
2413,User_354,1,Current,2,Comparison,2022-06-29 03:19:57
1286,User_249,1,Current,2,Comparison,2022-06-07 21:23:09
1286,User_249,3,Submission,2,Comparison,2022-06-07 21:23:59
1294,User_230,3,Submission,1,Analysis,2022-06-07 21:27:56
1295,User_102,3,Submission,2,Comparison,2022-06-07 21:29:24
2413,User_354,3,Submission,2,Comparison,2022-06-29 03:26:44
1297,User_102,1,Current,1,Analysis,2022-06-07 21:35:38
1297,User_102,3,Submission,1,Analysis,2022-06-07 21:35:40
1297,User_102,1,Current,2,Comparison,2022-06-07 21:35:40
1296,User_319,1,Current,1,Analysis,2022-06-07 21:37:08
2414,User_354,3,Submission,1,Analysis,2022-06-29 03:26:58
2414,User_354,1,Current,2,Comparison,2022-06-29 03:26:58
1296,User_319,3,Submission,1,Analysis,2022-06-07 21:37:41
1296,User_319,3,Submission,2,Comparison,2022-06-07 21:52:34
1297,User_102,3,Submission,2,Comparison,2022-06-07 21:45:24
1296,User_319,1,Current,2,Comparison,2022-06-07 21:52:29
1294,User_230,1,Current,2,Comparison,2022-06-07 21:55:11
1299,User_136,3,Submission,1,Analysis,2022-06-07 21:55:29
1299,User_136,1,Current,2,Comparison,2022-06-07 21:55:29
1298,User_319,1,Current,1,Analysis,2022-06-07 22:00:12
1298,User_319,3,Submission,1,Analysis,2022-06-07 22:00:17
1298,User_319,1,Current,2,Comparison,2022-06-07 22:03:49
1303,User_136,1,Current,2,Comparison,2022-06-07 22:18:45
1299,User_136,3,Submission,2,Comparison,2022-06-07 22:01:19
1300,User_136,3,Submission,1,Analysis,2022-06-07 22:02:48
1300,User_136,1,Current,2,Comparison,2022-06-07 22:02:48
1298,User_319,3,Submission,2,Comparison,2022-06-07 22:03:53
1302,User_319,1,Current,1,Analysis,2022-06-07 22:08:42
1306,User_114,3,Submission,1,Analysis,2022-06-07 22:23:11
1306,User_114,1,Current,2,Comparison,2022-06-07 23:20:13
1302,User_319,3,Submission,1,Analysis,2022-06-07 22:08:45
1301,User_114,1,Current,1,Analysis,2022-06-07 22:10:58
1301,User_114,3,Submission,1,Analysis,2022-06-07 22:12:27
1300,User_136,3,Submission,2,Comparison,2022-06-07 22:17:16
1303,User_136,3,Submission,1,Analysis,2022-06-07 22:18:45
1294,User_230,3,Submission,2,Comparison,2022-06-07 22:23:58
1305,User_114,3,Submission,1,Analysis,2022-06-07 22:24:36
1307,User_213,1,Current,1,Analysis,2022-06-07 22:25:59
1307,User_213,3,Submission,1,Analysis,2022-06-07 22:26:08
1303,User_136,3,Submission,2,Comparison,2022-06-07 22:26:13
1313,User_114,3,Submission,2,Comparison,2022-06-07 22:52:00
1304,User_248,1,Current,1,Analysis,2022-06-07 22:26:16
1304,User_248,3,Submission,1,Analysis,2022-06-07 22:26:27
1304,User_248,1,Current,2,Comparison,2022-06-07 22:26:27
1308,User_136,3,Submission,1,Analysis,2022-06-07 22:27:28
1308,User_136,1,Current,2,Comparison,2022-06-07 22:27:28
1308,User_136,3,Submission,2,Comparison,2022-06-07 22:30:43
1320,User_114,3,Submission,1,Analysis,2022-06-07 22:52:18
2414,User_354,3,Submission,2,Comparison,2022-06-29 03:29:52
1310,User_136,3,Submission,1,Analysis,2022-06-07 22:32:20
1310,User_136,1,Current,2,Comparison,2022-06-07 22:32:20
1309,User_213,1,Current,1,Analysis,2022-06-07 22:32:45
1309,User_213,3,Submission,1,Analysis,2022-06-07 22:32:50
1310,User_136,3,Submission,2,Comparison,2022-06-07 22:34:13
2415,User_354,3,Submission,1,Analysis,2022-06-29 03:30:04
2415,User_354,1,Current,2,Comparison,2022-06-29 03:30:04
1309,User_213,1,Current,2,Comparison,2022-06-07 22:35:52
1311,User_136,3,Submission,1,Analysis,2022-06-07 22:36:00
1311,User_136,1,Current,2,Comparison,2022-06-07 22:36:00
1309,User_213,3,Submission,2,Comparison,2022-06-07 22:36:01
1302,User_319,1,Current,2,Comparison,2022-06-07 22:37:47
2415,User_354,3,Submission,2,Comparison,2022-06-29 03:34:11
1302,User_319,3,Submission,2,Comparison,2022-06-07 22:37:50
1312,User_213,1,Current,1,Analysis,2022-06-07 22:37:57
1311,User_136,3,Submission,2,Comparison,2022-06-07 22:38:01
1312,User_213,3,Submission,1,Analysis,2022-06-07 22:38:01
2416,User_354,3,Submission,1,Analysis,2022-06-29 03:34:22
2416,User_354,1,Current,2,Comparison,2022-06-29 03:34:22
1315,User_136,3,Submission,1,Analysis,2022-06-07 22:39:44
1315,User_136,1,Current,2,Comparison,2022-06-07 22:39:44
1314,User_319,1,Current,1,Analysis,2022-06-07 22:41:04
1314,User_319,3,Submission,1,Analysis,2022-06-07 22:41:09
1313,User_114,3,Submission,1,Analysis,2022-06-07 22:41:55
1304,User_248,3,Submission,2,Comparison,2022-06-07 22:42:17
1315,User_136,3,Submission,2,Comparison,2022-06-07 22:43:36
1314,User_319,1,Current,2,Comparison,2022-06-07 22:45:59
1313,User_114,1,Current,2,Comparison,2022-06-07 22:51:53
1316,User_136,3,Submission,1,Analysis,2022-06-07 22:44:52
1316,User_136,1,Current,2,Comparison,2022-06-07 22:44:52
1314,User_319,3,Submission,2,Comparison,2022-06-07 22:46:06
1312,User_213,1,Current,2,Comparison,2022-06-07 22:47:05
1312,User_213,3,Submission,2,Comparison,2022-06-07 22:47:08
1316,User_136,3,Submission,2,Comparison,2022-06-07 22:49:30
1320,User_114,3,Submission,2,Comparison,2022-06-07 22:54:40
1318,User_213,1,Current,1,Analysis,2022-06-07 22:49:48
1318,User_213,3,Submission,1,Analysis,2022-06-07 22:49:53
1319,User_136,3,Submission,1,Analysis,2022-06-07 22:50:14
1319,User_136,1,Current,2,Comparison,2022-06-07 22:50:14
1318,User_213,1,Current,2,Comparison,2022-06-07 22:53:00
1318,User_213,3,Submission,2,Comparison,2022-06-07 22:53:05
1320,User_114,1,Current,2,Comparison,2022-06-07 22:54:37
1319,User_136,3,Submission,2,Comparison,2022-06-07 22:57:19
1324,User_114,3,Submission,2,Comparison,2022-06-07 23:00:48
1331,User_114,3,Submission,1,Analysis,2022-06-07 23:01:09
1248,User_254,3,Submission,2,Comparison,2022-06-07 23:03:42
1330,User_136,3,Submission,1,Analysis,2022-06-07 23:04:06
1330,User_136,1,Current,2,Comparison,2022-06-07 23:04:06
1332,User_254,1,Current,1,Analysis,2022-06-07 23:09:17
1331,User_114,1,Current,2,Comparison,2022-06-07 23:10:34
1331,User_114,3,Submission,2,Comparison,2022-06-07 23:10:37
1330,User_136,3,Submission,2,Comparison,2022-06-07 23:10:49
1361,User_239,1,Current,2,Comparison,2022-06-08 13:11:58
2416,User_354,3,Submission,2,Comparison,2022-06-29 03:36:39
1332,User_254,1,Current,2,Comparison,2022-06-07 23:12:54
1306,User_114,3,Submission,2,Comparison,2022-06-07 23:20:17
1333,User_114,3,Submission,1,Analysis,2022-06-07 23:20:35
1334,User_334,1,Current,1,Analysis,2022-06-07 23:25:49
1334,User_334,3,Submission,1,Analysis,2022-06-07 23:25:54
1333,User_114,1,Current,2,Comparison,2022-06-07 23:27:56
1333,User_114,3,Submission,2,Comparison,2022-06-07 23:27:59
1335,User_114,3,Submission,1,Analysis,2022-06-07 23:28:21
1335,User_114,1,Current,2,Comparison,2022-06-07 23:34:09
1361,User_239,3,Submission,2,Comparison,2022-06-08 13:22:06
2417,User_354,3,Submission,1,Analysis,2022-06-29 03:36:47
2417,User_354,1,Current,2,Comparison,2022-06-29 03:40:28
1334,User_334,1,Current,2,Comparison,2022-06-07 23:29:15
1334,User_334,3,Submission,2,Comparison,2022-06-07 23:29:18
1336,User_334,1,Current,1,Analysis,2022-06-07 23:30:44
1336,User_334,3,Submission,1,Analysis,2022-06-07 23:30:47
1363,User_239,3,Submission,1,Analysis,2022-06-08 13:22:26
1363,User_239,1,Current,2,Comparison,2022-06-08 13:22:26
1336,User_334,1,Current,2,Comparison,2022-06-07 23:32:57
1336,User_334,3,Submission,2,Comparison,2022-06-07 23:33:00
1335,User_114,3,Submission,2,Comparison,2022-06-07 23:34:12
1337,User_334,1,Current,1,Analysis,2022-06-07 23:34:34
1337,User_334,3,Submission,1,Analysis,2022-06-07 23:34:36
1337,User_334,1,Current,2,Comparison,2022-06-07 23:36:08
1337,User_334,3,Submission,2,Comparison,2022-06-07 23:36:11
1332,User_254,3,Submission,2,Comparison,2022-06-07 23:36:21
1338,User_334,1,Current,1,Analysis,2022-06-07 23:37:37
1338,User_334,3,Submission,1,Analysis,2022-06-07 23:37:39
1339,User_254,1,Current,1,Analysis,2022-06-07 23:40:04
1338,User_334,1,Current,2,Comparison,2022-06-07 23:45:30
1339,User_254,3,Submission,1,Analysis,2022-06-07 23:40:09
1339,User_254,1,Current,2,Comparison,2022-06-07 23:40:09
1338,User_334,3,Submission,2,Comparison,2022-06-07 23:45:32
1340,User_334,1,Current,1,Analysis,2022-06-07 23:48:00
1340,User_334,3,Submission,1,Analysis,2022-06-07 23:48:02
1339,User_254,3,Submission,2,Comparison,2022-06-07 23:53:29
1340,User_334,1,Current,2,Comparison,2022-06-08 00:02:45
1340,User_334,3,Submission,2,Comparison,2022-06-08 00:02:47
1341,User_334,1,Current,1,Analysis,2022-06-08 00:04:47
1371,User_150,3,Submission,1,Analysis,2022-06-08 14:19:51
1341,User_334,3,Submission,1,Analysis,2022-06-08 00:04:49
1341,User_334,1,Current,2,Comparison,2022-06-08 00:09:11
1341,User_334,3,Submission,2,Comparison,2022-06-08 00:09:13
1342,User_334,1,Current,1,Analysis,2022-06-08 00:10:48
1342,User_334,3,Submission,1,Analysis,2022-06-08 00:10:50
1371,User_150,1,Current,2,Comparison,2022-06-08 14:19:51
1342,User_334,1,Current,2,Comparison,2022-06-08 00:19:27
1342,User_334,3,Submission,2,Comparison,2022-06-08 00:19:30
1343,User_334,1,Current,1,Analysis,2022-06-08 00:21:00
1343,User_334,3,Submission,1,Analysis,2022-06-08 00:21:02
1374,User_150,1,Current,2,Comparison,2022-06-08 14:35:25
1343,User_334,1,Current,2,Comparison,2022-06-08 00:26:32
1343,User_334,3,Submission,2,Comparison,2022-06-08 00:26:34
1344,User_334,1,Current,1,Analysis,2022-06-08 00:29:43
1344,User_334,3,Submission,1,Analysis,2022-06-08 00:29:46
1344,User_334,1,Current,2,Comparison,2022-06-08 00:33:13
1344,User_334,3,Submission,2,Comparison,2022-06-08 00:33:15
1345,User_334,1,Current,1,Analysis,2022-06-08 00:35:25
1345,User_334,3,Submission,1,Analysis,2022-06-08 00:35:27
1345,User_334,1,Current,2,Comparison,2022-06-08 00:38:19
1345,User_334,3,Submission,2,Comparison,2022-06-08 00:39:05
1346,User_334,1,Current,1,Analysis,2022-06-08 00:41:45
1346,User_334,3,Submission,1,Analysis,2022-06-08 00:41:48
1383,User_115,1,Current,2,Comparison,2022-06-08 17:17:45
1397,User_351,1,Current,2,Comparison,2022-06-08 18:50:09
1346,User_334,1,Current,2,Comparison,2022-06-08 00:43:30
1346,User_334,3,Submission,2,Comparison,2022-06-08 00:43:32
1347,User_334,1,Current,1,Analysis,2022-06-08 00:45:05
1347,User_334,3,Submission,1,Analysis,2022-06-08 00:45:07
1414,User_102,3,Submission,2,Comparison,2022-06-08 20:36:51
1347,User_334,1,Current,2,Comparison,2022-06-08 22:47:34
1348,User_136,3,Submission,1,Analysis,2022-06-08 02:37:27
1348,User_136,1,Current,2,Comparison,2022-06-08 02:37:27
1348,User_136,3,Submission,2,Comparison,2022-06-08 02:45:55
1349,User_136,3,Submission,1,Analysis,2022-06-08 02:47:39
1349,User_136,1,Current,2,Comparison,2022-06-08 02:47:39
1349,User_136,3,Submission,2,Comparison,2022-06-08 02:55:25
1350,User_136,3,Submission,1,Analysis,2022-06-08 02:56:07
1418,User_102,3,Submission,1,Analysis,2022-06-08 20:39:03
1350,User_136,1,Current,2,Comparison,2022-06-08 02:56:07
1350,User_136,3,Submission,2,Comparison,2022-06-08 02:56:29
1351,User_249,1,Current,1,Analysis,2022-06-08 03:56:02
1351,User_249,3,Submission,1,Analysis,2022-06-08 03:56:32
1351,User_249,1,Current,2,Comparison,2022-06-08 04:08:09
1351,User_249,3,Submission,2,Comparison,2022-06-08 04:09:56
1352,User_239,3,Submission,1,Analysis,2022-06-08 12:01:55
1352,User_239,1,Current,2,Comparison,2022-06-08 12:01:55
1352,User_239,3,Submission,2,Comparison,2022-06-08 12:09:23
1353,User_239,3,Submission,1,Analysis,2022-06-08 12:16:54
1353,User_239,1,Current,2,Comparison,2022-06-08 12:16:54
1353,User_239,3,Submission,2,Comparison,2022-06-08 12:17:51
1354,User_239,3,Submission,1,Analysis,2022-06-08 12:18:35
1354,User_239,1,Current,2,Comparison,2022-06-08 12:18:35
1354,User_239,3,Submission,2,Comparison,2022-06-08 12:27:24
1355,User_239,3,Submission,1,Analysis,2022-06-08 12:34:52
1355,User_239,1,Current,2,Comparison,2022-06-08 12:34:52
1355,User_239,3,Submission,2,Comparison,2022-06-08 12:40:59
1356,User_239,3,Submission,1,Analysis,2022-06-08 12:41:24
1356,User_239,1,Current,2,Comparison,2022-06-08 12:41:24
1356,User_239,3,Submission,2,Comparison,2022-06-08 12:47:55
1357,User_239,3,Submission,1,Analysis,2022-06-08 12:48:40
1357,User_239,1,Current,2,Comparison,2022-06-08 12:48:40
1357,User_239,3,Submission,2,Comparison,2022-06-08 12:54:45
1358,User_239,3,Submission,1,Analysis,2022-06-08 12:55:06
1358,User_239,1,Current,2,Comparison,2022-06-08 12:55:06
1358,User_239,3,Submission,2,Comparison,2022-06-08 13:00:30
1359,User_239,3,Submission,1,Analysis,2022-06-08 13:00:51
1359,User_239,1,Current,2,Comparison,2022-06-08 13:00:51
1359,User_239,3,Submission,2,Comparison,2022-06-08 13:05:07
1360,User_239,3,Submission,1,Analysis,2022-06-08 13:07:32
1360,User_239,1,Current,2,Comparison,2022-06-08 13:07:32
1360,User_239,3,Submission,2,Comparison,2022-06-08 13:11:35
1361,User_239,3,Submission,1,Analysis,2022-06-08 13:11:58
1362,User_219,3,Submission,1,Analysis,2022-06-08 13:23:17
1362,User_219,1,Current,2,Comparison,2022-06-08 13:23:17
1363,User_239,3,Submission,2,Comparison,2022-06-08 13:28:43
1364,User_219,3,Submission,1,Analysis,2022-06-08 13:29:07
